Index,Fp,E,ve,Tc,T10,T2star0,r2p,r2e,r2star,PK_model,GCM_model
-,ml/min/ml,-,ml/ml,min,s,s,l/mmol/s,l/mmol/s,l/mmol/s,-,-
1,0.301544835551481,0.40792252477064,0.276411488118709,0.280185187852096,1.904,0.02,11,16,44,TwoCX,GCM
2,0.190220034576278,0.388259195158967,0.191325659329901,0.30356425841005,1.904,0.02,11,16,44,TwoCX,GCM
3,0.8,0,0.1,0.01,1.904,0.02,11,16,44,TwoCX,GCM
4,0.83,0,0.11,0.012,1.904,0.02,11,16,44,TwoCX,GCM
5,0.5,0,0.15,0.006,1.904,0.02,11,16,44,TwoCX,GCM
6,0.75,0,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
7,25,1E-05,1E-05,0.04,1.904,0.02,11,16,44,TwoCX,GCM
8,25,1E-05,1E-05,0.04,1.904,0.02,11,16,44,TwoCX,GCM
9,25,1E-05,1E-05,0.04,1.904,0.02,11,16,44,TwoCX,GCM
10,0.080789300578854,0.5,0.1,0.245560926103586,1.904,0.02,11,16,44,TwoCX,GCM
11,0.082373710761947,0.483632898397176,0.11809,0.266149748604296,1.904,0.02,11,16,44,TwoCX,GCM
12,0.077999192403212,0.508372683914187,0.066604400681338,0.360437588219598,1.904,0.02,11,16,44,TwoCX,GCM
13,0.090580540724083,0.493270158942757,0.082791753289914,0.320146688698662,1.904,0.02,11,16,44,TwoCX,GCM
14,0.0971,0.48,0.078,0.2873,1.904,0.02,11,16,44,TwoCX,GCM
15,0.099310236324672,0.477,0.0724,0.277,1.904,0.02,11,16,44,TwoCX,GCM
16,0.14960398559933,0.351980433243501,0.09599849200782,0.329068210333347,1.904,0.02,11,16,44,TwoCX,GCM
17,0.25,0.428390234607329,0.146823034337917,0.357971466086164,1.904,0.02,11,16,44,TwoCX,GCM
18,0.107763014309497,0.430339031744412,0.102942337293286,0.349211903240229,1.904,0.02,11,16,44,TwoCX,GCM
19,0.096966246164121,0.55,0.085,0.235986591304181,1.904,0.02,11,16,44,TwoCX,GCM
20,0.103795985156402,0.55,0.08,0.24,1.904,0.02,11,16,44,TwoCX,GCM
21,0.11,0.51,0.0782,0.178968243399168,1.904,0.02,11,16,44,TwoCX,GCM
22,0.187821209186305,0.200107426950683,0.125293215192112,0.257200119410272,1.904,0.02,11,16,44,TwoCX,GCM
23,0.17437036845074,0.210626661015973,0.071196858175882,0.27393025237722,1.904,0.02,11,16,44,TwoCX,GCM
24,0.24375645354516,0.447531489598831,0.164812967963801,0.341805203793672,1.904,0.02,11,16,44,TwoCX,GCM
25,0.25452659796751,0.463731934959827,0.227248598544883,0.308259986502093,1.904,0.02,11,16,44,TwoCX,GCM
26,0.175362472737781,0.489750693093232,0.132380368332078,0.457173518891147,1.904,0.02,11,16,44,TwoCX,GCM
27,100,1E-05,1E-05,0.01,1.904,0.02,11,16,44,TwoCX,GCM
28,100,1E-05,1E-05,0.01,1.904,0.02,11,16,44,TwoCX,GCM
29,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
30,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
31,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
32,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
33,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
34,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
35,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
36,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
37,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
38,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
39,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
40,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
41,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
42,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
43,50,1E-05,1E-05,0.02,1.904,0.02,11,16,44,TwoCX,GCM
44,1000,1E-05,1E-05,0.001,1.904,0.02,11,16,44,TwoCX,GCM
45,0.75,0.074074074074074,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
46,0.75,0.0625,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
47,0.75,0.050632911392405,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
48,0.5,0.074074074074074,0.15,0.006,1.904,0.02,11,16,44,TwoCX,GCM
49,0.83,0.045977011494253,0.11,0.012,1.904,0.02,11,16,44,TwoCX,GCM
50,0.75,0.025974025974026,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
51,0.5,0.038461538461539,0.15,0.006,1.904,0.02,11,16,44,TwoCX,GCM
52,0.83,0.023529411764706,0.11,0.012,1.904,0.02,11,16,44,TwoCX,GCM
